,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CanESM5,r28i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r29i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r30i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r31i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r32i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r33i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r34i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r35i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r36i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r37i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r38i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r39i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r40i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r41i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r42i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r43i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r44i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r45i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r46i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r47i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r48i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r49i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5,r50i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,,,,
CanESM5-CanOE,r1i1p1f1,,,,,,,,1,,0.00,,,,,,,,,CanESM,,,365_day,
CanESM5-CanOE,r1i1p2f1,0.00,-,,-,-,-,-,1,,,,0.00,,,,,,,,dust ss,,,
CanESM5-CanOE,r2i1p1f1,,,,,,,,1,,0.00,,,,,,,,,CanESM,,,,
CanESM5-CanOE,r2i1p2f1,0.00,-,,-,-,-,-,,,,,,,,,,,,,dust ss,,,
CanESM5-CanOE,r3i1p1f1,,,,,,,,1,,0.00,,,,,,,,,CanESM,,,,
CanESM5-CanOE,r3i1p2f1,0.00,-,,-,-,-,-,,,,,,,,,,,,,dust ss,,,
E3SM-1-0,r1i1p1f1,0.00,Basic,,,,,-,1,2.99,,,,,,,0.15,2.99,5.32,,,,,100.00
E3SM-1-1,r1i1p1f1,0.00,-,,,-,,-,,,,,,,,,,,,,,,365_day,100.00
E3SM-1-1-ECA,r1i1p1f1,0.00,-,,,,,Basic,,,,,,,,,,,,,,,,100.00
EC-Earth3,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.30,0.01,0.82,0.00,,,,0.21,2.30,,EC-Earth,MACv2-SP approach,2222101000.00,gregorian,100.00
EC-Earth3,r2i1p1f1,0.00,Basic,,,Basic,,,1,,0.01,,0.00,,,,,,,EC-Earth,,,,
