model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585
EC-Earth3,r110i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r111i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r112i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r113i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r114i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r115i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r116i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r117i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r118i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r119i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r120i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r121i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r122i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r123i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r124i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r125i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r126i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r127i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r128i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r129i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r130i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r131i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r132i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r133i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r134i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r135i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r136i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r137i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r138i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r139i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r140i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r141i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r142i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r143i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r144i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r145i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r146i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r147i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r148i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r149i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
EC-Earth3,r150i1p1f1,0,Basic,Basic,,Basic,Basic,Basic
FGOALS-f3-L,r1i1p1f1,0,ESD,,-,-,-,-
FGOALS-f3-L,r2i1p1f1,0,ESD,,-,-,-,-
FGOALS-f3-L,r3i1p1f1,0,ESD,,-,-,-,-
FGOALS-g3,r1i1p1f1,0,3Dml,3Dml,3Dml,ESD,3Dml,ESD
FGOALS-g3,r2i1p1f1,0,-,,3Dml,3Dml,3Dml,3Dml
FGOALS-g3,r3i1p1f1,0,3Dml,,3Dml,3Dml,3Dml,3Dml
FGOALS-g3,r4i1p1f1,0,3Dml,,3Dml,3Dml,3Dml,3Dml
FGOALS-g3,r5i1p1f1,0,3Dml,,,,3Dml,
FGOALS-g3,r6i1p1f1,0,3Dml,,,,,
FIO-ESM-2-0,r1i1p1f1,0,-,,-,-,,-
FIO-ESM-2-0,r2i1p1f1,0,-,,-,-,,-
FIO-ESM-2-0,r3i1p1f1,0,-,,-,-,,-
GFDL-CM4,r1i1p1f1,0,ESD,,,ESD,,ESD
GFDL-ESM4,r1i1p1f1,0,Basic,Basic,Basic,Basic,Basic,Basic
GFDL-ESM4,r2i1p1f1,0,-,,,-,,
GFDL-ESM4,r3i1p1f1,0,-,,,-,,
GISS-E2-1-G-CC,r1i1p1f1,0,-,,,,,
GISS-E2-1-G,r1i1p1f1,0,3Dml,,,,,
GISS-E2-1-G,r1i1p1f2,0,3Dml,-,-,-,-,-
GISS-E2-1-G,r1i1p1f3,0,-,,,,,
GISS-E2-1-G,r1i1p3f1,0,-,-,-,-,-,-
GISS-E2-1-G,r1i1p3f2,0,,,,,-,
GISS-E2-1-G,r1i1p5f1,0,-,,-,-,-,-
GISS-E2-1-G,r1i1p5f2,0,,,,Basic,,
GISS-E2-1-G,r2i1p1f1,0,-,,,,,
GISS-E2-1-G,r2i1p1f2,0,-,,,-,-,
GISS-E2-1-G,r2i1p1f3,0,-,,,,,
GISS-E2-1-G,r2i1p3f1,0,-,,-,-,-,-
GISS-E2-1-G,r2i1p3f2,0,,,,,-,
GISS-E2-1-G,r2i1p5f1,0,-,,,-,,
GISS-E2-1-G,r2i1p5f2,0,,,,Basic,,
GISS-E2-1-G,r3i1p1f1,0,-,,,,,
GISS-E2-1-G,r3i1p1f2,0,-,,,-,-,
GISS-E2-1-G,r3i1p1f3,0,-,,,,,
GISS-E2-1-G,r3i1p3f1,0,-,,-,-,-,-
GISS-E2-1-G,r3i1p3f2,0,,,,,-,
GISS-E2-1-G,r3i1p5f1,0,-,,,-,,
GISS-E2-1-G,r3i1p5f2,0,,,,Basic,,
GISS-E2-1-G,r4i1p1f1,0,-,,,,,
GISS-E2-1-G,r4i1p1f2,0,-,,,-,-,
GISS-E2-1-G,r4i1p1f3,0,-,,,,,
GISS-E2-1-G,r4i1p3f1,0,-,,-,-,-,-
GISS-E2-1-G,r4i1p5f1,0,-,,,-,,
GISS-E2-1-G,r4i1p5f2,0,,,,Basic,,
GISS-E2-1-G,r5i1p1f1,0,-,,,,,
GISS-E2-1-G,r5i1p1f2,0,-,,,-,-,
GISS-E2-1-G,r5i1p1f3,0,-,,,,,
GISS-E2-1-G,r5i1p3f1,0,-,,-,-,,-
GISS-E2-1-G,r5i1p5f1,0,,,,-,,
GISS-E2-1-G,r5i1p5f2,0,,,,Basic,,
GISS-E2-1-G,r6i1p1f1,0,-,,,,,
GISS-E2-1-G,r6i1p1f2,0,-,,,-,-,
GISS-E2-1-G,r6i1p3f1,0,-,,,,,
