,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CanESM5,r34i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r35i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r36i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r37i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r38i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r39i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r40i1p2f1,0.00,-,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r41i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r42i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r43i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r44i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r45i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r46i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r47i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r48i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r49i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5,r50i1p2f1,,,,,,,,1,,,0.00,,,,,,,,,,
CanESM5-CanOE,r1i1p1f1,,,,,,,,1,,,0.00,,,,,,CanESM,,,,365_day
CanESM5-CanOE,r1i1p2f1,0.00,-,,-,-,-,-,1,,,,0.00,,,,,,dust ss,,,
CanESM5-CanOE,r2i1p1f1,,,,,,,,1,,,0.00,,,,,,CanESM,,,,
CanESM5-CanOE,r2i1p2f1,0.00,-,,-,-,-,-,,,,,,,,,,,dust ss,,,
CanESM5-CanOE,r3i1p1f1,,,,,,,,1,,,0.00,,,,,,CanESM,,,,
CanESM5-CanOE,r3i1p2f1,0.00,-,,-,-,-,-,,,,,,,,,,,dust ss,,,
E3SM-1-0,r1i1p1f1,0.00,Basic,,,,,,1,,2.99,,,2.99,5.32,,,,,100.00,,
E3SM-1-1,r1i1p1f1,0.00,-,,,-,,-,,,,,,,,,,,,100.00,,365_day
E3SM-1-1-ECA,r1i1p1f1,0.00,-,,,,,,,,,,,,,,,,,100.00,,
EC-Earth3,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,0.82,2.30,0.01,0.00,2.30,,3.04,3.45,EC-Earth,MACv2-SP approach,100.00,2222101000.00,gregorian
EC-Earth3,r2i1p1f1,0.00,Basic,,,Basic,,,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r3i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r5i1p1f1,,,,,,,,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r6i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r7i1p1f1,0.00,Basic,,,Basic,,,1,,,0.01,0.00,,,,,EC-Earth,,,,
EC-Earth3,r11i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,,,,,,,,,,,,,,
EC-Earth3-AerChem,r1i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,,bc dust no3 oa so4 ss,100.00,2222102000.00,
EC-Earth3-AerChem,r4i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,,bc dust no3 oa so4 ss,,,
EC-Earth3-CC,r1i1p1f1,0.00,Basic,,,ESD,,ESD,,,,,,,,,,,,100.00,2222221020.00,gregorian
EC-Earth3-Veg,r1i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,2,0.80,2.62,0.01,0.00,2.62,4.31,3.04,3.39,EC-Earth,MACv2-SP approach,100.00,2222221000.00,gregorian
EC-Earth3-Veg,r2i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,2,,2.62,0.01,0.00,2.62,4.31,,,EC-Earth,MACv2-SP approach,100.00,2222221000.00,gregorian
EC-Earth3-Veg,r3i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,2,,2.62,0.01,0.00,2.62,4.31,,,EC-Earth,MACv2-SP approach,100.00,2222221000.00,gregorian
EC-Earth3-Veg,r4i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,,,,,,,4.31,,,EC-Earth,,,,gregorian
EC-Earth3-Veg,r5i1p1f1,0.00,Basic,,,Basic,,,,,,,,,4.31,,,EC-Earth,,,,gregorian
EC-Earth3-Veg,r6i1p1f1,0.00,RCM,,RCM,RCM,,RCM,2,,2.62,0.01,0.00,2.62,4.31,,,EC-Earth,MACv2-SP approach,100.00,2222221000.00,gregorian
EC-Earth3-Veg-LR,r1i1p1f1,0.00,Basic,ESD,ESD,ESD,ESD,ESD,,,,,,,,,,,,250.00,2222221000.00,gregorian
FGOALS-f3-L,r1i1p1f1,0.00,3Dml,,-,-,-,-,1,,1.94,0.03,0.00,1.94,3.00,,,,,100.00,,365_day
FGOALS-g3,r1i1p1f1,0.00,3Dml,3Dml,3Dml,ESD,3Dml,ESD,1,,1.54,0.00,1.00,1.54,2.88,2.07,2.58,,,250.00,,365_day
FGOALS-g3,r3i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,,,,1.00,,,,,,,,,
FIO-ESM-2-0,r1i1p1f1,0.00,-,,-,-,,-,1,,2.22,0.08,0.00,2.22,,,,,,100.00,,365_day
FIO-ESM-2-0,r2i1p1f1,0.00,-,,-,-,,-,1,,,0.08,0.00,,,,,,,,,
FIO-ESM-2-0,r3i1p1f1,0.00,-,,-,-,,-,1,,,0.08,0.00,,,,,,,,,
GFDL-CM4,r1i1p1f1,0.00,ESD,,,ESD,,ESD,0,,,,1.00,,,2.69,3.11,,,100.00,2222212110.00,
GFDL-ESM4,r1i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,0,,1.61,0.13,1.00,1.61,,2.35,2.67,,bc dust no3 oa so4 ss,100.00,2222222220.00,
GISS-E2-1-G,r1i1p1f1,0.00,3Dml,,,,,,0,,1.80,,1.00,1.80,2.72,,,,,250.00,2222101100.00,365_day
GISS-E2-1-G,r1i1p3f1,0.00,-,-,-,-,-,-,0,,,0.05,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r1i1p3f2,0.00,,,,,-,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r2i1p3f1,0.00,-,,-,-,-,-,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r2i1p3f2,0.00,,,,,-,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r3i1p3f1,0.00,-,,-,-,-,-,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r3i1p3f2,0.00,,,,,-,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r4i1p3f1,0.00,-,,-,-,-,-,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-H,r1i1p1f1,0.00,-,,,,,,0,,1.93,,,1.93,3.11,,,,,250.00,,365_day
GISS-E2-1-H,r1i1p3f1,0.00,-,-,,-,-,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-2-G,r1i1p1f1,,,,,,,,0,,1.71,,,1.71,,,,,,,,
HadGEM3-GC31-LL,r1i1p1f1,,,,,,,,2,,2.55,,0.00,2.55,,,,,,,,360_day
HadGEM3-GC31-LL,r1i1p1f3,0.00,RCM,,RCM,RCM,,RCM,2,0.82,,0.00,0.00,,5.55,3.65,4.28,HadGEM,,,,
HadGEM3-GC31-MM,r1i1p1f1,,,,,,,,1,,2.58,,,2.58,,,,,,,,360_day
HadGEM3-GC31-MM,r1i1p1f3,0.00,RCM,,RCM,,,RCM,,,,,,,5.42,,,,,100.00,2222002000.00,
IITM-ESM,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,,1.71,,,1.71,,2.16,2.38,,,250.00,2222101020.00,standard
INM-CM4-8,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,,1.33,0.01,1.00,1.33,1.83,2.16,2.50,INM,bc dust oa so4 ss,100.00,,365_day
INM-CM5-0,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,,1.39,0.04,1.00,1.39,1.92,1.92,2.25,INM,bc dust oa so4 ss,100.00,,365_day
INM-CM5-0,r2i1p1f1,0.00,ESD,,,,ESD,,,,,,,,,,,,bc dust oa so4 ss,,,
INM-CM5-0,r3i1p1f1,0.00,ESD,,,,ESD,,,,,,,,,,,,bc dust oa so4 ss,,,
INM-CM5-0,r4i1p1f1,0.00,ESD,,,,ESD,,,,,,,,,,,,bc dust oa so4 ss,,,
INM-CM5-0,r5i1p1f1,0.00,ESD,,,,ESD,,,,,,,,,,,,bc dust oa so4 ss,,,
IPSL-CM5A2-INCA,r1i1p1f1,0.00,3Dml,,3Dml,,3Dml,,,,,,,,,,,,bc dust no3 oa so4 ss,500.00,,
IPSL-CM6A-LR,r1i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,0.83,2.32,0.02,0.00,2.32,4.56,3.23,3.81,,bc dust no3 oa so4 ss,250.00,2222221121.00,gregorian
IPSL-CM6A-LR,r2i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,,2.32,0.02,0.00,2.32,,,,,bc dust no3 oa so4 ss,250.00,,
IPSL-CM6A-LR,r3i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,,2.32,0.02,0.00,2.32,,,,,bc dust no3 oa so4 ss,250.00,,
IPSL-CM6A-LR,r4i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,,2.32,0.02,0.00,2.32,,,,,bc dust no3 oa so4 ss,250.00,,
IPSL-CM6A-LR,r5i1p1f1,0.00,RCM,,,RCM,RCM,,1,,2.32,0.02,0.00,2.32,,,,,bc dust no3 oa so4 ss,250.00,,
IPSL-CM6A-LR,r6i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,,2.32,0.02,0.00,2.32,,,,,bc dust no3 oa so4 ss,250.00,,
IPSL-CM6A-LR,r7i1p1f1,0.00,RCM,,,,RCM,,,,,,,,,,,,bc dust no3 oa so4 ss,,,
IPSL-CM6A-LR,r8i1p1f1,0.00,RCM,,,,RCM,,,,,,,,,,,,bc dust no3 oa so4 ss,,,
IPSL-CM6A-LR,r9i1p1f1,0.00,RCM,,,,RCM,,,,,,,,,,,,bc dust no3 oa so4 ss,,,
IPSL-CM6A-LR,r10i1p1f1,0.00,RCM,,,RCM,RCM,,1,,,,0.00,,,,,,bc dust no3 oa so4 ss,,,
IPSL-CM6A-LR,r14i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,,2.32,0.02,0.00,2.32,,,,,bc dust no3 oa so4 ss,250.00,,
